"","states","total_confirmed","new_confirmed","total_recoveries","new_recoveries","total_death","new_death","week","day","month"
"1","Abia",2121,77,2010,8,33,2,2021-12-26,"Sunday","December"
"2","Adamawa",1157,0,1098,0,32,0,2021-12-26,"Sunday","December"
"3","Akwa Ibom",4487,59,4349,31,44,0,2021-12-26,"Sunday","December"
"4","Anambra",2489,43,2405,19,19,0,2021-12-26,"Sunday","December"
"5","Bauchi",1851,25,1791,15,23,0,2021-12-26,"Sunday","December"
"6","Bayelsa",1290,4,1226,10,28,0,2021-12-26,"Sunday","December"
"7","Benue",1907,0,1512,0,25,0,2021-12-26,"Sunday","December"
"8","Borno",1532,176,1317,0,38,0,2021-12-26,"Sunday","December"
"9","Cross River",696,6,654,23,25,0,2021-12-26,"Sunday","December"
"10","Delta",4705,144,2556,0,110,0,2021-12-26,"Sunday","December"
"11","Ebonyi",2062,0,2004,0,32,0,2021-12-26,"Sunday","December"
"12","Edo",7296,335,6410,76,281,0,2021-12-26,"Sunday","December"
"13","Ekiti",1898,76,1747,4,28,0,2021-12-26,"Sunday","December"
"14","Enugu",2890,44,2835,38,29,0,2021-12-26,"Sunday","December"
"15","FCT",26910,2049,23593,202,232,8,2021-12-26,"Sunday","December"
"16","Gombe",2784,27,2683,14,60,0,2021-12-26,"Sunday","December"
"17","Imo",2310,25,1999,0,57,16,2021-12-26,"Sunday","December"
"18","Jigawa",627,8,602,2,17,0,2021-12-26,"Sunday","December"
"19","Kaduna",10456,173,10098,32,86,4,2021-12-26,"Sunday","December"
"20","Kano",4628,115,4353,46,122,1,2021-12-26,"Sunday","December"
"21","Katsina",2377,10,2327,7,37,0,2021-12-26,"Sunday","December"
"22","Kebbi",470,0,454,0,16,0,2021-12-26,"Sunday","December"
"23","Kogi",5,0,3,0,2,0,2021-12-26,"Sunday","December"
"24","Kwara",4185,150,3709,0,64,0,2021-12-26,"Sunday","December"
"25","Lagos",92128,8562,80063,10,757,0,2021-12-26,"Sunday","December"
"26","Nasarawa",2517,0,2345,0,39,0,2021-12-26,"Sunday","December"
"27","Niger",1077,0,998,0,20,0,2021-12-26,"Sunday","December"
"28","Ogun",5660,141,5339,40,81,1,2021-12-26,"Sunday","December"
