"Data Source","World Development Indicators",

"Last Updated Date","2024-05-30",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Aruba","ABW","Net migration","SM.POP.NETM","0","-569","-609","-646","-684","-726","-761","-1175","-1219","-1256","-1280","-1296","-552","-314","-247","-281","-690","-710","-727","-734","-737","-551","-411","-399","-536","-746","-946","-1049","-899","-185","879","1946","1294","1662","1668","1598","1636","1656","1786","1828","1235","560","350","324","315","579","569","621","666","703","498","315","229","134","88","177","170","218","367","412","0","501","164","157",
"Africa Eastern and Southern","AFE","Net migration","SM.POP.NETM","-90849","-1348","-24259","-16266","37452","11041","-12060","4529","17992","-7733","1184","-94513","-129343","30089","142873","67213","14373","-369157","549108","127465","-308842","312842","166975","81379","150024","156794","228243","215740","-211477","-139006","22815","-511160","-556663","-156997","-391945","-243945","-427138","-813478","-432996","-399164","-564510","-409728","-452301","-342557","-331713","-357877","-284378","-214900","-359068","-473488","-371556","-683611","-285231","-92842","-199608","394925","-864708","-343075","-366105","-187410","-48955","-179444","-274282","-271749",
"Afghanistan","AFG","Net migration","SM.POP.NETM","2606","6109","7016","6681","7079","10695","3563","6824","3333","2029","4458","-12801","-4050","-3030","-20009","-44418","-85430","-83115","-117186","-481199","-1205401","-2127145","-586943","-192869","322022","-210572","-427073","-402606","-89837","2683","-666001","39926","1834556","1171818","665410","71824","27194","6129","35740","85758","-1007135","-192286","1327074","388632","-248616","252185","62684","-942887","221000","-58881","-141355","418796","105905","48076","255611","-281739","-90238","-47090","-47205","-8082","166821","-183672","-65846","-65846",
"Africa Western and Central","AFW","Net migration","SM.POP.NETM","-847","-41547","-36399","-37435","-45534","-15985","-21743","9625","-2360","-16684","6159","-86991","-56426","-51885","-3597","-4921","-137370","-75777","-81679","-76127","-153529","-86322","-8242","-682765","-354123","-284607","-214280","-186148","-103580","-54273","-529414","-101888","-72380","-345858","-198790","10350","-188064","56467","-17330","-158730","-22651","-38737","-39042","-99836","-41511","-137920","-223100","-225365","-247671","-220606","-264237","-198802","-435876","-377305","-280418","-360393","-167286","-200823","-255888","-328552","-99761","-264802","-186109","-183333",
"Angola","AGO","Net migration","SM.POP.NETM","-43749","-49186","-54566","-59777","-71948","-87288","-104955","-113780","-111222","-81748","-36455","3219","35014","40182","39146","38725","35245","44937","45001","47175","53078","52138","55830","61000","57744","54953","47774","46192","47815","46755","47663","33925","39196","38883","45272","40855","45356","49960","51856","51687","53527","56959","60505","59438","66585","64009","70170","73940","73804","77265","90016","94709","96056","91528","84532","74170","91623","77733","61632","58986","7557","29089","-1000","-1000",
"Albania","ALB","Net migration","SM.POP.NETM","15540","15424","15288","15007","14612","14209","13747","13164","12504","11991","11102","10007","8796","7346","5834","3922","1646","-683","-3324","-6146","-9135","-12432","-15706","-19231","-23253","-27468","-32143","-37189","-42393","-48054","-52723","-56599","-59634","-61925","-63700","-65106","-65800","-65975","-65616","-64787","-63610","-62059","-59876","-57308","-54383","-50855","-47174","-43019","-38736","-34116","-29330","-24465","-19946","-16845","-14265","-12240","-10887","-9768","-9106","-8889","-9117","-10612","-8000","-8000",
"Andorra","AND","Net migration","SM.POP.NETM","642","653","664","670","672","669","856","1061","1086","1112","1132","1163","1180","1208","1223","1235","1294","1294","1278","1210","959","931","1387","1386","1389","1219","1678","1710","1662","1616","1589","1501","1446","1530","1474","1588","182","140","183","39","146","2690","2690","2722","2744","2467","-2420","-2446","-2584","-2678","-2864","27","33","12","-84","-232","1303","887","1184","1238","1474","1377","200","200",
"Arab World","ARB","Net migration","SM.POP.NETM","-111478","-176004","-144522","-184289","-173533","-186104","-88973","-68591","-38322","-49053","-62613","-100946","-65527","-25001","86457","461003","1160872","273825","6296","882288","467972","-18224","292311","270068","158418","-73250","173017","-86700","-487966","-229037","-2012275","-322443","-263405","731021","-157334","-106482","-144006","17793","-23185","-34533","-4273","-182158","-87387","-247339","10402","820217","1327595","1631375","1470703","1117576","39096","-864858","-66311","340149","-184490","-194516","3140","13305","511128","139844","-1585167","-458710","308780","298369",
"United Arab Emirates","ARE","Net migration","SM.POP.NETM","3916","4081","4108","4037","3922","3866","3789","3629","29767","37673","38490","39031","39360","39563","39700","39556","76314","79336","81531","82586","79756","37758","38243","38014","36660","35496","68733","68141","67441","66283","64939","64706","63263","62946","59748","64261","130051","131906","133350","133289","131735","130241","128160","124550","122863","339380","781672","1037187","1040422","783241","-13726","-15738","-16401","-15566","-14954","-14154","-13520","-12895","-8582","-4466","-2762","-2762","0","0",
"Argentina","ARG","Net migration","SM.POP.NETM","20399","29321","29386","30637","32322","33973","35529","37727","39985","40436","38356","36056","36601","39199","43652","-5357","-10308","-14695","-14673","-10236","-3466","10366","19326","29062","30810","31967","32496","32345","30243","20445","6021","-8569","-13201","-16383","-18725","-19736","-20396","-20588","-20331","-20220","-22770","-22787","-22668","-22353","-22336","-21961","-19958","-18051","-12450","-7869","-4970","-1011","3127","5369","5801","5522","5215","4926","4690","4478","2344","2344","3886","3718",
"Armenia","ARM","Net migration","SM.POP.NETM","12482","13657","14902","16186","17426","18587","19669","20652","21558","20809","18405","17001","17891","18816","19704","20630","21268","23743","23435","-8680","-22177","-23113","-23315","-23399","-32741","-34757","-35994","-35349","-25623","98512","2119","5419","-196273","-126968","-112567","-50217","-51023","-51638","-52266","-52843","-51873","-44486","-34971","-30238","-30623","-31023","-31302","-31530","-31822","-32000","-31991","-29214","-28731","-28257","-27763","-27283","-26804","-26326","-25835","-25363","-12825","-12825","-5000","-5000",
"American Samoa","ASM","Net migration","SM.POP.NETM","-260","-93","-97","-96","-97","-90","-42","-124","-69","-77","-308","-399","-405","-415","-376","-249","-267","-282","-294","-307","115","292","317","343","347","351","355","354","355","342","-251","-505","-516","-522","-476","-419","-385","-405","-451","-452","-1158","-1503","-1583","-1647","-1701","-1697","-1661","-1618","-1586","-1527","-1475","-1509","-1538","-1575","-1602","-1629","-1641","-1652","-1652","-1650","-1636","-1646","-810","-790",
