Year,Angola,Burundi,Benin,Burkina Faso,Botswana,Central African Republic,Cote d'Ivoire,Cameroon,"Congo, Dem. Rep.","Congo, Rep.",Comoros,Cabo Verde,Algeria,"Egypt, Arab Rep.",Ethiopia,Gabon,Ghana,Guinea,"Gambia, The",Guinea-Bissau,Equatorial Guinea,Kenya,Liberia,Libya,Lesotho,Morocco,Mali,Mozambique,Mauritania,Mauritius,Malawi,Namibia,Niger,Nigeria,Rwanda,Sudan,Senegal,Sierra Leone,Somalia,South Sudan,Seychelles,Chad,Togo,Tunisia,Tanzania,Uganda,South Africa,Zambia,Zimbabwe
1960,-43749,-14647,-4725,-23329,-4329,485,31307,0,27672,0,-741,-2269,-55202,-2959,1698,0,12176,0,2282,-8009,222,2140,1891,14784,2591,-19418,-10332,-44466,-322,-2494,0,-3227,-3653,12174,-13204,2191,9338,-3528,750,0,21,-687,-13868,-66870,1953,-7586,18909,-3894,-8256
1961,-49186,15090,-4797,-24796,-4162,485,36410,0,35662,0,-726,55,-111448,2504,6940,0,-48780,0,2282,-3575,392,4289,2124,15277,2772,-41561,-10165,-31580,-336,-3026,0,-2807,-2893,21080,-20540,3901,9545,-2947,1336,0,-8,-773,-14858,-66880,7359,-7893,56098,-4357,-8582
1962,-54566,-15378,-4847,-26156,-4026,485,39669,0,39432,0,-722,900,-99071,3984,8965,0,-48017,0,2282,-3952,537,4512,2189,15658,2966,-29267,-10843,-29193,-347,-2968,0,-2403,-2375,23312,-25631,4379,9810,-2658,1496,0,2,-902,-15486,-66783,2892,-6470,68068,-4756,-8931
1963,-59777,-11519,-4850,-26497,-3998,485,40132,0,41963,0,-733,944,-110250,2806,9418,0,-46510,0,2282,-5999,639,4239,2167,12715,3170,-57523,-11980,-28745,-369,-3306,0,-2016,-2301,22134,-25565,4260,10371,-2480,1449,0,13,-1242,-14361,-65956,3212,-3057,70976,-5029,-9369
1964,-71948,29635,-4837,-26414,-4123,485,40132,-15,48194,0,-758,1004,-94017,-1750,10745,0,-43475,0,2282,-23966,747,4784,2189,1807,3367,-47413,-13252,-26306,-397,-3222,0,-1660,-2301,21439,-19490,4499,11888,-2308,1518,0,71,-2521,-6214,-64952,7966,-3172,74419,-5214,-10064
1965,-87288,-13952,-4800,-25486,-14195,485,40132,-51,61401,0,-676,1094,-122843,-4593,16349,0,-38520,0,2282,-19961,850,8524,2435,-14590,4055,-34401,-13693,-20420,-438,-2829,0,-1327,-2301,28207,-9788,6367,13910,-1851,2142,0,56,-4383,6104,-54215,3644,-3718,80687,-5370,-10889
1966,-104955,5261,-4767,-27388,-14483,485,40132,-109,54443,0,-696,1230,-31076,-25834,9162,0,-38136,0,2282,-11031,931,1625,1964,-20513,5459,-28290,-17072,-23534,-477,-2208,0,-1023,-2301,7449,-1943,2816,15854,-2911,941,0,86,-6296,18418,-27390,3876,-3021,75469,-5502,-11667
1967,-113780,-9820,-4754,-26540,-14700,485,40132,-163,64307,0,63,1374,-25103,-30046,14434,0,-35668,0,2615,1525,984,5059,2180,-19626,9797,-24525,-16944,-19162,-521,-1767,0,-339,-2301,14132,4652,4501,17110,-2819,1498,0,127,-7778,26576,-19162,4204,-3764,80165,-5638,-12222
1968,-111222,-5928,-4755,-27554,-14874,485,41192,-218,57270,0,289,1520,-25027,-43814,9992,0,-36684,-350,2706,2774,572,1621,1973,-18378,10287,-26517,-18058,-19182,-575,-1896,-1314,-636,-2287,4930,4722,2782,17260,-3743,906,0,166,-8408,26860,-9852,33345,-3210,77095,-5798,-12423
1969,-81748,-25319,-4795,-28496,-14995,-88,48198,-291,46779,0,349,1605,-29825,-58834,7265,2645,-28746,-2846,2757,-11049,-2237,374,1991,-16836,10316,-25803,-18341,-15875,-698,-2075,-2701,-57,-2249,1669,2984,2487,16882,-4485,690,0,160,-8723,20613,-10056,35754,-14550,71155,-11871,-12511
1970,-36455,-6348,-4854,-28920,-12728,-3689,58885,-373,39119,0,430,173,-37056,-70830,8595,1883,-10239,-6904,2784,1134,-6499,-13059,2294,-15185,10278,-26172,-17521,-5468,-864,-2191,-2149,-244,-2226,7960,1156,4467,16164,-4957,1104,0,167,-8937,10865,-10062,38628,-25655,61524,-31372,-24103
1971,3219,-7580,-4921,-34623,-3088,-7265,69727,-444,-5489,0,526,-4087,-35129,-113627,-14508,1138,-12234,-11545,2820,-13321,-10760,-49671,1305,-14218,10211,-39372,-22180,11749,-1019,-2468,-716,-208,-2287,-35585,-4213,-3573,15133,-8162,-1850,0,242,-9163,482,-9950,41913,-42660,32976,-31650,-22714
1972,35014,-118665,-4965,-33785,6914,-9641,77214,-482,2837,0,640,-6314,-32867,-111509,-3379,653,-4596,-15804,2861,-1997,-13576,-48467,2022,-7183,10172,-47253,-19647,39407,-1148,-2686,51,-236,-2532,-13077,-4148,2243,13851,-8267,-351,0,244,-9535,-7661,-9787,57460,-86479,38121,-31681,-20972
1973,40182,2839,-4954,-34553,10892,-9802,78960,-477,7421,-32,769,-6412,-29960,-112685,355,613,-1169,-19085,2903,-1997,-13875,-52115,2283,17146,10202,-51797,-19183,50018,-1209,-3031,1625,-1066,-2951,-699,-3860,5788,11382,-9322,143,0,93,-10751,-11555,-9607,48340,-73514,41090,-31479,-18743
1974,39146,10072,-4815,-30690,11307,-9842,79445,-385,3211,-315,921,-6510,-27618,-121442,-4219,691,-1197,-22661,2606,22080,-12983,-62991,2094,34131,10300,-52945,-22508,55981,-1325,-3282,3815,-744,-3181,44211,-4531,100318,3347,-11473,-495,0,84,-15703,-14483,-9256,51112,-51953,38493,-31183,-16111
1975,38725,-20706,-4600,-30577,11741,-9904,79765,-243,-981,-10299,1058,-6509,338533,-125141,-42567,802,-290,-26254,2980,26186,-11398,-71454,2038,43437,8959,-52014,-26632,64299,-1477,-3210,5145,-553,-3256,75448,-4792,105500,-7870,-13058,-1934,0,93,-22800,-16973,-8762,53248,-47415,38750,-30891,-29003
1976,35245,-12871,-4309,-25856,12202,-33639,20141,-19995,-27041,-11120,1169,-7073,340146,-144535,-36153,909,-2533,-29250,3440,29447,-9377,-91037,1259,45512,5641,-58073,-34088,64050,-1655,-3431,8189,-5048,-3312,72700,-7034,104615,-18745,-15686,-3831,0,24,-29796,-18832,-11064,54819,-42295,27255,-30629,-32516
1977,44937,1890,-4020,-18974,12631,-35773,14753,-20622,-27626,-11651,1255,-7431,5348,-92212,-527133,982,15245,-31040,3970,31188,-7131,-57530,3548,47725,1123,-32181,-28926,99519,-2998,-3388,19634,-3907,-3476,129022,-11093,129474,-35820,-12399,2170,0,-199,-34368,-19856,-12574,49981,-37704,63715,-30427,-89271
1978,45001,8248,-3730,-19322,12920,-37880,9446,-1296,267674,-12335,1336,-7570,19312,-92176,-210991,995,18037,-30978,4489,30184,-4553,-60759,3492,50014,947,-30603,-31602,104611,-2998,-2877,36219,-22827,-3496,111237,-13849,134773,-36651,-13073,402005,0,-499,-34912,-19163,-12406,27301,-34630,62116,-30280,-170730
1979,47175,-40170,-3363,-18613,12991,-39849,4929,-12106,175944,-13309,1212,-7653,24300,-81024,-711455,995,20291,-28810,4907,-13801,-235,-56314,3492,52320,960,-27391,-32438,89893,-2997,-2180,46380,-4818,-3498,137656,-3474,140384,-35122,-13095,582746,0,-601,-9989,-13519,-12117,-4806,-98976,56298,-29514,-67943
1980,53078,149360,-2945,-15379,12064,-41537,1771,70584,27764,-13988,566,-5983,29298,-50167,-903529,995,-13567,-25331,5266,-8080,4903,-39943,4012,54588,950,-17644,-30239,-122726,-2997,-1601,51087,-15041,-5582,184467,4634,151287,-32711,-11641,65519,0,-599,-210554,-4993,-11505,-46294,-106037,52736,-25771,389244
1981,52138,-58722,-2551,-17838,8632,-42866,-176,27854,6978,-14782,-660,-5679,34865,-54511,628135,995,-12300,-21400,5436,-8286,9605,-52794,2755,56719,960,-26896,-34216,-18371,-2998,-1462,55952,-18901,-7580,90174,14235,147787,-30044,-12699,-332129,0,-591,-13245,3519,-10778,-46800,-83121,28782,-17361,9895
1982,55830,-3837,-2255,-15907,2402,-43912,-1481,-139994,5914,-16629,-1407,-5634,41604,-33767,66700,995,7862,-17938,5750,-8546,12568,-43402,2536,58493,967,-32757,-34232,-34299,-2998,-1826,60243,-889,-8959,73253,12606,83392,-27752,-11379,6115,0,-592,217247,9163,-10563,-45146,-53573,37693,-5851,30135
