country_name,Latitude,Longitude
Algeria,28.0339,1.6596
Angola,-11.2027,17.8739
Benin,9.3077,2.3158
Botswana,-22.3285,24.6849
Burkina Faso,12.2383,-1.5616
Burundi,-3.3731,29.9189
Cabo Verde,16.5388,-23.0418
Cameroon,3.848,11.5021
Central African Republic,6.6111,20.9394
Chad,15.4542,18.7322
Comoros,-11.875,43.8722
"Congo, Dem. Rep.",-0.228,15.8277
"Congo, Rep.",-4.0383,21.7587
Cote d'Ivoire,11.8251,42.5903
Djibouti,26.8206,30.8025
"Egypt, Arab Rep.",1.6508,10.2679
Equatorial Guinea,15.1794,39.7823
Eritrea,-26.5225,31.4659
Eswatini,9.145,40.4897
Ethiopia,-0.8037,11.6094
Gabon,13.4432,-15.3101
"Gambia, The",7.9465,-1.0232
Ghana,9.9456,-9.6966
Guinea,11.8037,-15.1804
Guinea-Bissau,7.539989,-5.54708
Kenya,-1.2921,36.8219
Lesotho,-29.6099,28.2336
Liberia,6.4281,-9.4295
Libya,26.3351,17.2283
Madagascar,-18.7669,46.8691
Malawi,-13.2543,34.3015
Mali,17.5707,-3.9962
Mauritania,21.0079,-10.9408
Mauritius,-20.3484,57.5522
Morocco,31.7917,-7.0926
Mozambique,-18.6657,35.5296
Namibia,-22.9576,18.4904
Niger,17.6078,8.0817
Nigeria,9.082,8.6753
Rwanda,-1.9403,29.8739
Sao Tome and Principe,0.1864,6.6131
Senegal,14.4974,-14.4524
Seychelles,-4.6796,55.492
Sierra Leone,8.4606,-11.7799
Somalia,5.1521,46.1996
South Africa,-30.5595,22.9375
South Sudan,4.8594,31.5713
Sudan,12.8628,30.2176
Tanzania,-6.369,34.8888
Togo,8.6195,0.8248
Tunisia,33.8869,9.5375
Uganda,1.3733,32.2903
Zambia,-13.1339,27.8493
Zimbabwe,-19.0154,29.1549
