"","X","id","submitter","authors","title","comments","journal.ref","doi","report.no","categories","license","abstract","versions","update_date","authors_parsed","v1_date"
"1",1,"0704.0047","Igor Grabec","T. Kosel and I. Grabec","Intelligent location of simultaneously active acoustic emission sources:
  Part I","5 pages, 5 eps figures, uses IEEEtran.cls","","","","cs.NE cs.AI","","  The intelligent acoustic emission locator is described in Part I, while Part
II discusses blind source separation, time delay estimation and location of two
simultaneously active continuous acoustic emission sources.
  The location of acoustic emission on complicated aircraft frame structures is
a difficult problem of non-destructive testing. This article describes an
intelligent acoustic emission source locator. The intelligent locator comprises
a sensor antenna and a general regression neural network, which solves the
location problem based on learning from examples. Locator performance was
tested on different test specimens. Tests have shown that the accuracy of
location depends on sound velocity and attenuation in the specimen, the
dimensions of the tested area, and the properties of stored data. The location
accuracy achieved by the intelligent locator is comparable to that obtained by
the conventional triangulation method, while the applicability of the
intelligent locator is more general since analysis of sonic ray paths is
avoided. This is a promising method for non-destructive testing of aircraft
frame structures by the acoustic emission method.
","[{'version': 'v1', 'created': 'Sun, 1 Apr 2007 13:06:50 GMT'}]","2009-09-29","[['Kosel', 'T.', ''], ['Grabec', 'I.', '']]","2007-04-01"
"2",2,"0704.0050","Igor Grabec","T. Kosel and I. Grabec","Intelligent location of simultaneously active acoustic emission sources:
  Part II","5 pages, 7 eps figures, uses IEEEtran.cls","","","","cs.NE cs.AI","","  Part I describes an intelligent acoustic emission locator, while Part II
discusses blind source separation, time delay estimation and location of two
continuous acoustic emission sources.
  Acoustic emission (AE) analysis is used for characterization and location of
developing defects in materials. AE sources often generate a mixture of various
statistically independent signals. A difficult problem of AE analysis is
separation and characterization of signal components when the signals from
various sources and the mode of mixing are unknown. Recently, blind source
separation (BSS) by independent component analysis (ICA) has been used to solve
these problems. The purpose of this paper is to demonstrate the applicability
of ICA to locate two independent simultaneously active acoustic emission
sources on an aluminum band specimen. The method is promising for
non-destructive testing of aircraft frame structures by acoustic emission
analysis.
","[{'version': 'v1', 'created': 'Sun, 1 Apr 2007 18:53:13 GMT'}]","2007-05-23","[['Kosel', 'T.', ''], ['Grabec', 'I.', '']]","2007-04-01"
"3",3,"0704.0184","Paolo Padovani","P. Padovani (ESO)","Gamma-ray emitting AGN and GLAST","5 pages, 1 figure, invited talk at the First GLAST Symposium,
  February 5-8, 2007, Stanford University, USA, to appear in the proceedings","AIP Conf.Proc.921:19-23,2007","10.1063/1.2757258","","astro-ph","","  I describe the different classes of Active Galactic Nuclei (AGN) and the
basic tenets of unified schemes. I then review the properties of the
extragalactic sources detected in the GeV and TeV bands, showing that the vast
majority of them belong to the very rare blazar class. I further discuss the
kind of AGN GLAST is likely to detect, making some predictions going from the
obvious to the likely, all the way to the less probable.
","[{'version': 'v1', 'created': 'Mon, 2 Apr 2007 13:34:32 GMT'}]","2009-06-23","[['Padovani', 'P.', '', 'ESO']]","2007-04-02"
"4",4,"0704.0209","Sangwook Park","Sangwook Park","Chandra Observations of Supernova 1987A","8 pages, 4 figures (including 2 color figs), 3 tables. To appear in
  the proceedings of ""Supernova 1987A: 20 Years after Supernovae and Gamma-Ray
  Bursters"", held in Aspen CO. USA, Feb 19-23, 2007","AIP Conf.Proc.937:43-50,2007","10.1063/1.2803606","","astro-ph","","  We have been monitoring Supernova (SN) 1987A with {\it Chandra X-Ray
Observatory} since 1999. We present a review of previous results from our {\it
Chandra} observations, and some preliminary results from new {\it Chandra} data
obtained in 2006 and 2007. High resolution imaging and spectroscopic studies of
SN 1987A with {\it Chandra} reveal that X-ray emission of SN 1987A originates
from the hot gas heated by interaction of the blast wave with the ring-like
dense circumstellar medium (CSM) that was produced by the massive progenitor's
equatorial stellar winds before the SN explosion. The blast wave is now
sweeping through dense CSM all around the inner ring, and thus SN 1987A is
rapidly brightening in soft X-rays. At the age of 20 yr (as of 2007 January),
X-ray luminosity of SN 1987A is $L_{\rm X}$ $\sim$ 2.4 $\times$ 10$^{36}$ ergs
s$^{-1}$ in the 0.5$-$10 keV band. X-ray emission is described by two-component
plane shock model with electron temperatures of $kT$ $\sim$ 0.3 and 2 keV. As
the shock front interacts with dense CSM all around the inner ring, the X-ray
remnant is now expanding at a much slower rate of $v$ $\sim$ 1400 km s$^{-1}$
than it was until 2004 ($v$ $\sim$ 6000 km s$^{-1}$).
","[{'version': 'v1', 'created': 'Mon, 2 Apr 2007 14:58:36 GMT'}]","2009-06-23","[['Park', 'Sangwook', '', 'Penn State'], ['Burrows', 'David N.', '', 'Penn State'], ['Garmire', 'Gordon P.', '', 'Penn State'], ['McCray', 'Richard', '', 'Colorado'], ['Racusin', 'Judith L.', '', 'Penn State'], ['Zhekov', 'Svetozar A.', '', 'Space Res Inst']]","2007-04-02"
"5",5,"0704.0209","Sangwook Park","David N. Burrows","Chandra Observations of Supernova 1987A","8 pages, 4 figures (including 2 color figs), 3 tables. To appear in
  the proceedings of ""Supernova 1987A: 20 Years after Supernovae and Gamma-Ray
  Bursters"", held in Aspen CO. USA, Feb 19-23, 2007","AIP Conf.Proc.937:43-50,2007","10.1063/1.2803606","","astro-ph","","  We have been monitoring Supernova (SN) 1987A with {\it Chandra X-Ray
Observatory} since 1999. We present a review of previous results from our {\it
Chandra} observations, and some preliminary results from new {\it Chandra} data
obtained in 2006 and 2007. High resolution imaging and spectroscopic studies of
SN 1987A with {\it Chandra} reveal that X-ray emission of SN 1987A originates
from the hot gas heated by interaction of the blast wave with the ring-like
dense circumstellar medium (CSM) that was produced by the massive progenitor's
equatorial stellar winds before the SN explosion. The blast wave is now
sweeping through dense CSM all around the inner ring, and thus SN 1987A is
rapidly brightening in soft X-rays. At the age of 20 yr (as of 2007 January),
X-ray luminosity of SN 1987A is $L_{\rm X}$ $\sim$ 2.4 $\times$ 10$^{36}$ ergs
s$^{-1}$ in the 0.5$-$10 keV band. X-ray emission is described by two-component
plane shock model with electron temperatures of $kT$ $\sim$ 0.3 and 2 keV. As
the shock front interacts with dense CSM all around the inner ring, the X-ray
remnant is now expanding at a much slower rate of $v$ $\sim$ 1400 km s$^{-1}$
than it was until 2004 ($v$ $\sim$ 6000 km s$^{-1}$).
","[{'version': 'v1', 'created': 'Mon, 2 Apr 2007 14:58:36 GMT'}]","2009-06-23","[['Park', 'Sangwook', '', 'Penn State'], ['Burrows', 'David N.', '', 'Penn State'], ['Garmire', 'Gordon P.', '', 'Penn State'], ['McCray', 'Richard', '', 'Colorado'], ['Racusin', 'Judith L.', '', 'Penn State'], ['Zhekov', 'Svetozar A.', '', 'Space Res Inst']]","2007-04-02"
"6",6,"0704.0209","Sangwook Park","Gordon P. Garmire (Penn State)","Chandra Observations of Supernova 1987A","8 pages, 4 figures (including 2 color figs), 3 tables. To appear in
  the proceedings of ""Supernova 1987A: 20 Years after Supernovae and Gamma-Ray
  Bursters"", held in Aspen CO. USA, Feb 19-23, 2007","AIP Conf.Proc.937:43-50,2007","10.1063/1.2803606","","astro-ph","","  We have been monitoring Supernova (SN) 1987A with {\it Chandra X-Ray
Observatory} since 1999. We present a review of previous results from our {\it
Chandra} observations, and some preliminary results from new {\it Chandra} data
obtained in 2006 and 2007. High resolution imaging and spectroscopic studies of
SN 1987A with {\it Chandra} reveal that X-ray emission of SN 1987A originates
from the hot gas heated by interaction of the blast wave with the ring-like
dense circumstellar medium (CSM) that was produced by the massive progenitor's
equatorial stellar winds before the SN explosion. The blast wave is now
sweeping through dense CSM all around the inner ring, and thus SN 1987A is
rapidly brightening in soft X-rays. At the age of 20 yr (as of 2007 January),
X-ray luminosity of SN 1987A is $L_{\rm X}$ $\sim$ 2.4 $\times$ 10$^{36}$ ergs
s$^{-1}$ in the 0.5$-$10 keV band. X-ray emission is described by two-component
plane shock model with electron temperatures of $kT$ $\sim$ 0.3 and 2 keV. As
the shock front interacts with dense CSM all around the inner ring, the X-ray
remnant is now expanding at a much slower rate of $v$ $\sim$ 1400 km s$^{-1}$
than it was until 2004 ($v$ $\sim$ 6000 km s$^{-1}$).
","[{'version': 'v1', 'created': 'Mon, 2 Apr 2007 14:58:36 GMT'}]","2009-06-23","[['Park', 'Sangwook', '', 'Penn State'], ['Burrows', 'David N.', '', 'Penn State'], ['Garmire', 'Gordon P.', '', 'Penn State'], ['McCray', 'Richard', '', 'Colorado'], ['Racusin', 'Judith L.', '', 'Penn State'], ['Zhekov', 'Svetozar A.', '', 'Space Res Inst']]","2007-04-02"
"7",7,"0704.0209","Sangwook Park","Richard McCray (Colorado)","Chandra Observations of Supernova 1987A","8 pages, 4 figures (including 2 color figs), 3 tables. To appear in
  the proceedings of ""Supernova 1987A: 20 Years after Supernovae and Gamma-Ray
  Bursters"", held in Aspen CO. USA, Feb 19-23, 2007","AIP Conf.Proc.937:43-50,2007","10.1063/1.2803606","","astro-ph","","  We have been monitoring Supernova (SN) 1987A with {\it Chandra X-Ray
Observatory} since 1999. We present a review of previous results from our {\it
Chandra} observations, and some preliminary results from new {\it Chandra} data
obtained in 2006 and 2007. High resolution imaging and spectroscopic studies of
SN 1987A with {\it Chandra} reveal that X-ray emission of SN 1987A originates
from the hot gas heated by interaction of the blast wave with the ring-like
dense circumstellar medium (CSM) that was produced by the massive progenitor's
equatorial stellar winds before the SN explosion. The blast wave is now
sweeping through dense CSM all around the inner ring, and thus SN 1987A is
rapidly brightening in soft X-rays. At the age of 20 yr (as of 2007 January),
X-ray luminosity of SN 1987A is $L_{\rm X}$ $\sim$ 2.4 $\times$ 10$^{36}$ ergs
s$^{-1}$ in the 0.5$-$10 keV band. X-ray emission is described by two-component
plane shock model with electron temperatures of $kT$ $\sim$ 0.3 and 2 keV. As
the shock front interacts with dense CSM all around the inner ring, the X-ray
remnant is now expanding at a much slower rate of $v$ $\sim$ 1400 km s$^{-1}$
than it was until 2004 ($v$ $\sim$ 6000 km s$^{-1}$).
","[{'version': 'v1', 'created': 'Mon, 2 Apr 2007 14:58:36 GMT'}]","2009-06-23","[['Park', 'Sangwook', '', 'Penn State'], ['Burrows', 'David N.', '', 'Penn State'], ['Garmire', 'Gordon P.', '', 'Penn State'], ['McCray', 'Richard', '', 'Colorado'], ['Racusin', 'Judith L.', '', 'Penn State'], ['Zhekov', 'Svetozar A.', '', 'Space Res Inst']]","2007-04-02"
"8",8,"0704.0209","Sangwook Park","Judith L. Racusin (Penn State)","Chandra Observations of Supernova 1987A","8 pages, 4 figures (including 2 color figs), 3 tables. To appear in
  the proceedings of ""Supernova 1987A: 20 Years after Supernovae and Gamma-Ray
  Bursters"", held in Aspen CO. USA, Feb 19-23, 2007","AIP Conf.Proc.937:43-50,2007","10.1063/1.2803606","","astro-ph","","  We have been monitoring Supernova (SN) 1987A with {\it Chandra X-Ray
Observatory} since 1999. We present a review of previous results from our {\it
Chandra} observations, and some preliminary results from new {\it Chandra} data
obtained in 2006 and 2007. High resolution imaging and spectroscopic studies of
SN 1987A with {\it Chandra} reveal that X-ray emission of SN 1987A originates
from the hot gas heated by interaction of the blast wave with the ring-like
dense circumstellar medium (CSM) that was produced by the massive progenitor's
equatorial stellar winds before the SN explosion. The blast wave is now
sweeping through dense CSM all around the inner ring, and thus SN 1987A is
rapidly brightening in soft X-rays. At the age of 20 yr (as of 2007 January),
X-ray luminosity of SN 1987A is $L_{\rm X}$ $\sim$ 2.4 $\times$ 10$^{36}$ ergs
s$^{-1}$ in the 0.5$-$10 keV band. X-ray emission is described by two-component
plane shock model with electron temperatures of $kT$ $\sim$ 0.3 and 2 keV. As
the shock front interacts with dense CSM all around the inner ring, the X-ray
remnant is now expanding at a much slower rate of $v$ $\sim$ 1400 km s$^{-1}$
than it was until 2004 ($v$ $\sim$ 6000 km s$^{-1}$).
","[{'version': 'v1', 'created': 'Mon, 2 Apr 2007 14:58:36 GMT'}]","2009-06-23","[['Park', 'Sangwook', '', 'Penn State'], ['Burrows', 'David N.', '', 'Penn State'], ['Garmire', 'Gordon P.', '', 'Penn State'], ['McCray', 'Richard', '', 'Colorado'], ['Racusin', 'Judith L.', '', 'Penn State'], ['Zhekov', 'Svetozar A.', '', 'Space Res Inst']]","2007-04-02"
"9",9,"0704.0209","Sangwook Park","Svetozar A. Zhekov
  (Space Res Inst)","Chandra Observations of Supernova 1987A","8 pages, 4 figures (including 2 color figs), 3 tables. To appear in
  the proceedings of ""Supernova 1987A: 20 Years after Supernovae and Gamma-Ray
  Bursters"", held in Aspen CO. USA, Feb 19-23, 2007","AIP Conf.Proc.937:43-50,2007","10.1063/1.2803606","","astro-ph","","  We have been monitoring Supernova (SN) 1987A with {\it Chandra X-Ray
Observatory} since 1999. We present a review of previous results from our {\it
Chandra} observations, and some preliminary results from new {\it Chandra} data
obtained in 2006 and 2007. High resolution imaging and spectroscopic studies of
SN 1987A with {\it Chandra} reveal that X-ray emission of SN 1987A originates
from the hot gas heated by interaction of the blast wave with the ring-like
dense circumstellar medium (CSM) that was produced by the massive progenitor's
equatorial stellar winds before the SN explosion. The blast wave is now
sweeping through dense CSM all around the inner ring, and thus SN 1987A is
rapidly brightening in soft X-rays. At the age of 20 yr (as of 2007 January),
X-ray luminosity of SN 1987A is $L_{\rm X}$ $\sim$ 2.4 $\times$ 10$^{36}$ ergs
s$^{-1}$ in the 0.5$-$10 keV band. X-ray emission is described by two-component
plane shock model with electron temperatures of $kT$ $\sim$ 0.3 and 2 keV. As
the shock front interacts with dense CSM all around the inner ring, the X-ray
remnant is now expanding at a much slower rate of $v$ $\sim$ 1400 km s$^{-1}$
than it was until 2004 ($v$ $\sim$ 6000 km s$^{-1}$).
","[{'version': 'v1', 'created': 'Mon, 2 Apr 2007 14:58:36 GMT'}]","2009-06-23","[['Park', 'Sangwook', '', 'Penn State'], ['Burrows', 'David N.', '', 'Penn State'], ['Garmire', 'Gordon P.', '', 'Penn State'], ['McCray', 'Richard', '', 'Colorado'], ['Racusin', 'Judith L.', '', 'Penn State'], ['Zhekov', 'Svetozar A.', '', 'Space Res Inst']]","2007-04-02"
"10",10,"0704.0222","Miguel \'Angel S\'anchez-Conde Mr.","Miguel A. Sanchez-Conde","Dark Matter annihilation in Draco: new considerations on the expected
  gamma flux","2 pages, 2 figures, to appear in the Proceedings of the First
  International GLAST Symposium, Stanford University, 5-8 February 2007","AIP Conf.Proc.921:510-511,2007","10.1063/1.2757426","","astro-ph","","  A new estimation of the gamma-ray flux that we expect to detect from SUSY
dark matter annihilation from the Draco dSph is presented using the DM density
profiles compatible with the latest observations. This calculation takes also
into account the important effect of the Point Spread Function (PSF) of the
telescope. We show that this effect is crucial in the way we will observe and
interpret a possible signal detection. Finally, we discuss the prospects to
detect a possible gamma signal from Draco for MAGIC and GLAST.
","[{'version': 'v1', 'created': 'Mon, 2 Apr 2007 15:52:54 GMT'}]","2009-06-23","[['Sanchez-Conde', 'Miguel A.', '']]","2007-04-02"
