longitude,latitude,OBJECTID,market_settlement_name,product_description,secondary_editor,editor,other_market_type_goods,market_type_goods,source,timestamp,market_name,market_days_monday,market_days_tuesday,market_days_wednesday,market_days_thursday,market_days_friday,market_days_saturday,market_days_sunday,total_market_days,wardcode,id,lat,lon
6.316060724,4.689818723,110081,Ogbia Town,Food Stuff Mixed Other,,racheal.olarewaju,Electronic,Food Stuff Mixed Other,eHA_Polio,2017/04/27 06:30:28+00,Ogbia Town Market,Yes,,,,Yes,,,2,BYSGBB05,110081,4.69,6.32
5.01569,7.00506,110082,Owena Egbeda,,,racheal.olarewaju,,,OSGOF,2019/02/27 06:32:04+00,Owena Egbeda Market,,,,,,,,,ODSIDNE05,110082,7.01,5.02
5.15882,7.01674,110083,Ayede,,,racheal.olarewaju,,,OSGOF,2019/02/27 06:32:04+00,Ayede Market,,,,,,,,,ODSIDNE08,110083,7.02,5.16
5.0945,7.14105,110084,Alade Idanre,,,racheal.olarewaju,,,OSGOF,2019/02/27 06:32:04+00,Alade Idanre Market,,,,,,,,,ODSIDNE01,110084,7.14,5.09
4.72367,7.16953,110085,General,,,racheal.olarewaju,,,OSGOF,2019/02/27 06:32:04+00,General Market,,,,,,,,,ODSIOU07,110085,7.17,4.72
5.06406,7.23497,110086,Aponmu Long,,,racheal.olarewaju,,,OSGOF,2019/02/27 06:32:04+00,Aponmu Long Market,,,,,,,,,ODSIDNE10,110086,7.23,5.06
5.11405,7.34852,110087,Ilaramoko,,,racheal.olarewaju,,,OSGOF,2019/02/27 06:32:04+00,Ilaramoko Market,,,,,,,,,ODSIDE07,110087,7.35,5.11
5.17158,7.36011,110088,Ijare,,,racheal.olarewaju,,,OSGOF,2019/02/27 06:32:04+00,Ijare Market,,,,,,,,,ODSIDE05,110088,7.36,5.17
5.17369,7.36511,110089,Araromi Omoladun,,,racheal.olarewaju,,,OSGOF,2019/02/27 06:32:04+00,Araromi Omoladun Market,,,,,,,,,ODSIDE05,110089,7.37,5.17
5.08498,7.38226,110090,Ero,,,racheal.olarewaju,,,OSGOF,2019/02/27 06:32:04+00,Ero Market,,,,,,,,,ODSIDE01,110090,7.38,5.08
5.0692,7.40105,110091,Isarun,,,racheal.olarewaju,,,OSGOF,2019/02/27 06:32:04+00,Isarun Market,,,,,,,,,ODSIDE10,110091,7.4,5.07
5.05665,7.41171,110092,Igbara Oke,,,racheal.olarewaju,,,OSGOF,2019/02/27 06:32:04+00,Igbara Oke Market,,,,,,,,,ODSIDE02,110092,7.41,5.06
5.14154,7.07776,110093,Apefon,,,racheal.olarewaju,,,OSGOF,2019/02/27 06:32:04+00,Apefon Market,,,,,,,,,ODSIDNE07,110093,7.08,5.14
4.74164,7.12063,110094,Asana Tatonmi,,,racheal.olarewaju,,,OSGOF,2019/02/27 06:32:04+00,Asana Tatonmi Market,,,,,,,,,ODSIOU10,110094,7.12,4.74
5.01216,7.26887,110095,Kolawole,,,racheal.olarewaju,,,OSGOF,2019/02/27 06:32:04+00,Kolawole Market,,,,,,,,,ODSIOU05,110095,7.27,5.01
5.15055,7.3453,110096,Ikota,,,racheal.olarewaju,,,OSGOF,2019/02/27 06:32:04+00,Ikota Market,,,,,,,,,ODSIDE06,110096,7.35,5.15
5.06666,7.4548,110097,Ibuji,,,racheal.olarewaju,,,OSGOF,2019/02/27 06:32:04+00,Ibuji Market,,,,,,,,,ODSIDE01,110097,7.45,5.07
4.85276,6.42275,110098,Igbogi I Camp,,,racheal.olarewaju,,,OSGOF,2019/02/27 06:32:04+00,Igbogi I Camp Market,,,,,,,,,ODSIAE05,110098,6.42,4.85
4.72558,6.43321,110099,Ode Erinje,,,racheal.olarewaju,,,OSGOF,2019/02/27 06:32:04+00,Ode Erinje Market,,,,,,,,,ODSPUP03,110099,6.43,4.73
4.89205,6.44235,110100,Sabome,,,racheal.olarewaju,,,OSGOF,2019/02/27 06:32:04+00,Sabome Market,,,,,,,,,ODSESO03,110100,6.44,4.89
5.12094,6.46329,110101,Ode Iyansan,,,racheal.olarewaju,,,OSGOF,2019/02/27 06:32:04+00,Ode Iyansan Market,,,,,,,,,ODSIRL10,110101,6.46,5.12
4.88949,6.47808,110102,Ode Omi,,,racheal.olarewaju,,,OSGOF,2019/02/27 06:32:04+00,Ode Omi Market,,,,,,,,,ODSIRL09,110102,6.48,4.89
4.7893,6.49242,110103,Ayeka,,,racheal.olarewaju,,,OSGOF,2019/02/27 06:32:04+00,Ayeka Market,,,,,,,,,ODSPUP01,110103,6.49,4.79
4.78996,6.49577,110104,Igbodigho,,,racheal.olarewaju,,,OSGOF,2019/02/27 06:32:04+00,Igbodigho Market,,,,,,,,,ODSPUP01,110104,6.5,4.79
4.69188,6.50283,110105,Ikoya Town,,,racheal.olarewaju,,,OSGOF,2019/02/27 06:32:04+00,Ikoya Town Market,,,,,,,,,ODSPUP06,110105,6.5,4.69
4.64016,6.52573,110106,Ilutitun,,,racheal.olarewaju,,,OSGOF,2019/02/27 06:32:04+00,Ilutitun Market,,,,,,,,,ODSPUP08,110106,6.53,4.64
4.74822,6.5491,110107,Farm Settlement,,,racheal.olarewaju,,,OSGOF,2019/02/27 06:32:04+00,Farm Settlement Market,,,,,,,,,ODSPUP12,110107,6.55,4.75
4.63807,6.57508,110108,Igbotako,,,racheal.olarewaju,,,OSGOF,2019/02/27 06:32:04+00,Igbotako Market,,,,,,,,,ODSPUP02,110108,6.58,4.64
5.05928,6.57722,110109,Atoranse Central,,,racheal.olarewaju,,,OSGOF,2019/02/27 06:32:04+00,Atoranse Central Market,,,,,,,,,ODSIRL07,110109,6.58,5.06
