states,indicators,Date,Value
Nassarawa,"Pupils in Primary School, Total",1999,376561
Nassarawa,"Pupils in Primary School, Total",2000,366949
Nassarawa,"Pupils in Primary School, Total",2001,341029
Nassarawa,"Pupils in Primary School, Total",2002,339890
Nassarawa,"Pupils in Primary School, Total",2003,339890
Nassarawa,"Pupils in Primary School, Total",2004,424902
Nassarawa,"Pupils in Primary School, Total",2005,449811
Nassarawa,"Pupils in Primary School, Total",2006,490086
Nassarawa,"Pupils in Primary School, Total",2007,384904
Nassarawa,"Pupils in Primary School, Total",2008,328303
Nassarawa,"Pupils in Primary School, Total",2009,306217
Nassarawa,"Number of nomadic primary school, Total",2004,51
Nassarawa,"Number of nomadic primary school, Total",2005,53
Nassarawa,"Number of nomadic primary school, Total",2006,53
Nassarawa,"Number of nomadic primary school, Total",2007,53
Nassarawa,"Number of nomadic primary school, Total",2008,40
Nassarawa,"Number of nomadic primary school pupils, Total",2004,7328
Nassarawa,"Number of nomadic primary school pupils, Total",2005,7364
Nassarawa,"Number of nomadic primary school pupils, Total",2006,7364
Nassarawa,"Number of nomadic primary school pupils, Total",2007,7364
Nassarawa,"Number of nomadic primary school pupils, Total",2008,6408
Nassarawa,"Private secondary schools, Total",2006,46
Nassarawa,"Private secondary schools, Total",2007,75
Nassarawa,"Public Primary School, Total",2005,1276
Nassarawa,"Public Primary School, Total",2006,1305
Nassarawa,"Public Primary School, Total",2007,1130
Nassarawa,"Public Primary School, Total",2008,1411
Nassarawa,"Public Primary School, Total",2009,1652
Nassarawa,"Public Secondary schools, Total",2005,276
Nassarawa,"Public Secondary schools, Total",2006,276
Nassarawa,"Public Secondary schools, Total",2007,483
Nassarawa,"Public Secondary schools, Total",2008,483
Nassarawa,"Public Secondary schools, Total",2009,483
Abuja,"Pupils in Primary School, Total",1999,131003
Abuja,"Pupils in Primary School, Total",2000,166415
Abuja,"Pupils in Primary School, Total",2001,162912
Abuja,"Pupils in Primary School, Total",2002,193217
Abuja,"Pupils in Primary School, Total",2003,193217
Abuja,"Pupils in Primary School, Total",2004,191540
Abuja,"Pupils in Primary School, Total",2005,196249
Abuja,"Pupils in Primary School, Total",2006,334394
Abuja,"Pupils in Primary School, Total",2007,240549
Abuja,"Pupils in Primary School, Total",2008,226732
Abuja,"Pupils in Primary School, Total",2009,182222
Abuja,"Number of nomadic primary school, Total",2004,39
Abuja,"Number of nomadic primary school, Total",2005,41
Abuja,"Number of nomadic primary school, Total",2006,41
Abuja,"Number of nomadic primary school, Total",2007,41
Abuja,"Number of nomadic primary school, Total",2008,30
Abuja,"Number of nomadic primary school pupils, Total",2004,3905
Abuja,"Number of nomadic primary school pupils, Total",2005,3945
Abuja,"Number of nomadic primary school pupils, Total",2006,3945
Abuja,"Number of nomadic primary school pupils, Total",2007,3945
Abuja,"Number of nomadic primary school pupils, Total",2008,4182
Abuja,"Private secondary schools, Total",2006,20
Abuja,"Private secondary schools, Total",2007,64
Abuja,"Public Primary School, Total",2005,435
Abuja,"Public Primary School, Total",2006,448
Abuja,"Public Primary School, Total",2007,454
Abuja,"Public Primary School, Total",2008,465
Abuja,"Public Primary School, Total",2009,477
Abuja,"Public Secondary schools, Total",2005,69
Abuja,"Public Secondary schools, Total",2006,69
Abuja,"Public Secondary schools, Total",2007,85
Abuja,"Public Secondary schools, Total",2008,85
Abuja,"Public Secondary schools, Total",2009,85
Abia,"Pupils in Primary School, Total",1999,333767
Abia,"Pupils in Primary School, Total",2000,653473
Abia,"Pupils in Primary School, Total",2001,731611
Abia,"Pupils in Primary School, Total",2002,671595
