"","X","Branches","Address","ID"
"1",1,"ABACHA BARRACKS","Mogadishu Cantonment (Formerly Sani Abacha Barracks) Asokoro. FCT",5571
"2",2,"ABUJA, LAFIA CLOSE","1, Lafia Close, Area 8. Garki. Abuja",5112
"3",3,"ABUJA MAIN","39 FASKARI CRESENT, AREA 3 GARKI, ABUJA",6877
"4",4,"AHOADA AREA11","PLOT 876, OBAFEMI AWOLOWO CLOSE",5735
"5",5,"AMINU KANO","PLOT 106 AMINU KANO CRESCENT, WUSE 2 ABUJA",5572
"6",6,"AP PLAZA, ABUJA","AP Plaza Adetokunbo Ademola St, Wuse, Abuja",2756
"7",7,"ASOKORO","Plot 21C, Julius Nyerere Street, off Yakubu Gowon Str, Asokoro, Abuja",809
"8",8,"CBD Abuja","Gateway Plaza, Plot 208, Zakariyah Maimalari Road, off Herbert",9534
"9",9,"CEDDI PLAZA","PLOT 264 TAFAWA BALEWA WAY CBD- ABUJA",3130
"10",10,"COURT OF APPEAL","COURT OF APPEAL COMPLEX 3 ARM ZONE",2013
"11",11,"FEDERAL MINISTRY OF WORKS","MABUSHI, UTAKO DISTRICT, ABUJA FCT",9379
"12",12,"GARKI II","PLOT 1347 AHMADU BELLO WAY, GARKI, ABUJA",8126
"13",13,"GWAGWALADA","Plot 63 University Of Abuja Teaching Hospital road",5722
"14",14,"IMANI ESTATE","IMANI ESTATE MAITAMA",8780
"15",15,"KOFORIDUA BO","28 Koforidua Street Wuse Zone 2",2093
"16",16,"LE-MERIDIEN","PLOT 903 , TAFAWA BALEWA STR. AREA 11 GARKI, ABUJA",5263
"17",17,"MAITAMA 2","Plot 701, Usuma Street, off Gana Street, Maitama, Abuja",2629
"18",18,"MINISTRY OF JUSTICE","Fed min of justice HQ, Shehu Shagari way maitama Abuja",1277
"19",19,"NASS - HOUSE OF REPS","National Assembly Complex, Three-Arms Zone Maitama District. Abuja.",8548
"20",21,"NASS – SENATE","National Assembly Complex, Three-Arms Zone Maitama District. Abuja",6377
"21",22,"NATIONAL HOSPITAL, ABUJA","Plot 132, Central Business District FCT. Abuja",6220
"22",23,"NNPC TOWERS","NNPC Towers Abuja",1925
"23",24,"OWENA HOUSE, ABUJA","POWA PLAZA",663
"24",25,"Prestige Abuja Bank","2 Usuma Street, off Gana Street Maiitama Abuja",5063
"25",26,"SILVERBIRD","SILVERBIRD GALLERIA CBD,ABUJA",3402
"26",27,"TRANSCORP HILTON","TRANSCORP HILTON HOTEL. NO. 1 AGUIYI IRONSI STREET,MAITAMA",7255
"27",28,"WAEC","WAEC BUILDING 10 ZAMBEZI CRESCENT MAITAMA",7635
"28",29,"WUSE 2","Plot 52, Ademola Adetokunbo Crescent, Wuse 2, Abuja",9553
"29",30,"WUSE 4","2097 Herbert Macaulay Wy Wuse4",2524
"30",31,"ABA FACTORY ROAD","5, Factory Road, Aba. Abia State",1965
"31",32,"ABA -OKIGWE RD","9 Okigwe Road Aba",8191
"32",33,"ABA OWERRI RD","146/148 Aba-Owerri Road, Aba, Abia State",3573
"33",34,"Aba P/h Road","10, Port Harcourt Road, Aba. Abia State",4275
"34",35,"ABA ROAD UMUAHIA","68 Aba Road Umuahia",8392
"35",36,"BENDE","Bende-Umuahia Road, Bende. Abia State",4831
"36",37,"EZIUKWU B/O","3A CEMETERY ROAD, EZIUKWU MARKET, ABA, ABIA STATE",3287
"37",38,"FACTORY RD, ABA-ABA1","1A, FACTORY ROAD, ABA",9010
"38",39,"FAULKS ROAD, ABA","21, Faulks Road. Aba, Abia State",9251
"39",40,"UMUAHIA","1 FACTORY ROAD / AKANU IBIAM ROAD UMUAHIA, ABIA STATE",4578
"40",41,"AHMADU BELLO WAY","56, Ahmadu Bello Way",8497
"41",42,"GALADIMA AMINU2 B/O","36, GALADIMA AMINU WAY, JIMETA, YOLA",8747
"42",43,"GLADIMA AMINU1 B/O","42, GLADIMA AMINU WAY, JIMETA, YOLA",578
"43",44,"AKA RD","7-13, Aka Road, PMB 1202, Uyo, Akwa Ibom State.",4821
"44",45,"EBUKHU","Ebukhu, MBO L.G.A. Oron. Akwa-Ibom State.",6647
"45",46,"EKET","12B, Grace Bill Rd, PMB 1163. Eket. Akwa Ibom State.",6336
"46",47,"IKOT ABASI","Ibekwe Road, PMB. 1053, Ikot Abasi. LGA. Akwa Ibom State",867
"47",48,"IKOT EKPENE","Esuene Drive, Ikot-Ekpene",5794
"48",49,"NWANNIBA RD, Uyo 3","34, Nwaniba Road, Uyo. Akwa Ibom State",804
"49",50,"UBA PLC ABAK ROAD,UYO","PLOT 15 BLK 1,ABAK ROAD ,UYO",6225
"50",51,"UDO UDOMA AVENUE","Udo Udoma Avenue, Uyo",5302
"51",52,"47, ZIK AVENUE, AWKA, ANAMBRA","47, Zik Avenue, Awka, Anambra",6233
"52",53,"AGULU","EKWULOBIA ROAD AGULU, Anambra State",5247
"53",54,"AWKA 1 - 2 ZIK AVENUE","2 Zik Avenue Awka, Anambra State",6650
"54",55,"AWKA 2 - 47 ZIK AVE","47 ZIK AVENUE, AWKA",4895
"55",56,"AWKA 2 – SECRETARIAT","STATE SECRETARIAT COMPLEX, AWKA, ANAMBRA STATE",7353
"56",57,"ELECTRONICS MARKET ONITSHA","Electronics Mrkt, Onitsha",8930
"57",58,"NKPOR 1 - OKOSISI LANE","OKOSISI LANE, NEW AUTO SPARE PARTS MKT, NKPOR, ANAMBRA",8362
"58",59,"NKPOR 2 - AJULUCHUKWU ST.","14, AJULUCHUKWU ST, NEW PARTS MKT, NKPOR, ANAMBRA",6163
"59",60,"NNEWI 2 - EDO EZEMEWI RD.","22 Edo-Ezemewi Road Nnewi2, Anambra",1401
"60",61,"NNEWI 2 EDO-EZEMEWI RD","22 EDO-EZEMEWI RD NNEWI, ANAMBRA",2564
"61",62,"Nnewi 3","Onitsha Bridge Head",142
"62",63,"NNEWI MOTORCYCLE SPARE PART MARKET","MOTORCYCLE SPARE PART MARKET, NNEWI",5487
"63",64,"NNEWI, PARTS MKT","Ukpor, Nnewi South LGA Anambra",719
"64",65,"Ochanja - Iweka Road","96B, IWEKA ROAD, ONITSHA, ANAMBRA STATE",3085
"65",66,"ONITSHA 1 - NEW MARKET ROAD","37, NEW MKT RD, ONITSHA, ANAMBRA STATE",2759
"66",67,"ONITSHA 3 - 8B NEW MARKET ROAD","8B, MARKET RD, ONITSHA, ANAMBRA STATE",4750
"67",68,"ONITSHA BRIDGEHEAD 1","16 Port Harcourt Road, Bridgehead, Onitsha",953
"68",69,"ONITSHA BRIDGEHEAD 2","30A Port Harcourt Road Bridgehead Onitsha",1333
"69",70,"ONITSHA BRIDGEHEAD 3","56 Port Harcourt Road Bridgehead Onitsha",2229
"70",71,"Onitsha Main (New Market Road 1)","40, NEW MKT RD, ONITSHA, ANAMBRA STATE",4564
"71",72,"ONITSHA OGIDI EXP WAY","5, Enugu / Onitsha Express Way. Ogidi. Anambra State",8819
"72",73,"Onitsha, Bida Rd","3A, Bida Road Main Market Onitsha. Anambra state",5417
"73",74,"Park Road, Nnewi 1","6, ORAIFITE / OGBUFOR RD, NNEWI,ANAMBRA STATE",9204
"74",75,"RELIEF MKT. ONITSHA","Ogbodo Ukwu Road, Relief Market, off Onitsha Owerri Exp. Way",2472
"75",76,"Ugwuagba, Obosi","Ugwuagba Obosi",6971
"76",77,"UNIZIK","Nnamdi Azikiwe University, Akwa, Anambra State",5174
"77",79,"BAUCHI STATE","",2636
"78",80,"Branch","Address",8222
"79",81,"37, ABDULKADIR AHMED WAY","37, Abdulkadir Ahmed Way",2651
"80",82,"ABDULKADIR AHMED WAY","37 ABDULKADIR AHMED WAY",1242
"81",83,"BANK ROAD B/O","10, BANK ROAD COMMERCIAL AREA, BAUCHI",4214
"82",84,"NINGI B/O","ALG BAUCHI-KANO ROAD, NINGI, BAUCHI",8957
"83",85,"Abraka-Ere Hse,Yenezue-Gene Yen","Abraka-Ere Hse,Yenezue-Gene Yen",6856
"84",86,"Mbiama Yenagoa","144 Mbiama Yenagoa, Bayelsa",2475
"85",87,"ONUPA RD, YENAGOA","186, Mbiama Road, Onopa, Yenagoa, Bayelsa State",4209
