"","X.1","X","Branches","Address","ID","lat","long"
"1",1,1,"ABACHA BARRACKS","Mogadishu Cantonment (Formerly Sani Abacha Barracks) Asokoro. FCT",5571,9.0484146,7.5379733
"2",2,2,"ABUJA, LAFIA CLOSE","1, Lafia Close, Area 8. Garki. Abuja",5112,9.0334571,7.4874973
"3",3,3,"ABUJA MAIN","39 FASKARI CRESENT, AREA 3 GARKI, ABUJA",6877,9.028761,7.4759687
"4",4,4,"AHOADA AREA11","PLOT 876, OBAFEMI AWOLOWO CLOSE",5735,6.4701659,3.171283
"5",5,5,"AMINU KANO","PLOT 106 AMINU KANO CRESCENT, WUSE 2 ABUJA",5572,9.0724334,7.4695728
"6",6,6,"AP PLAZA, ABUJA","AP Plaza Adetokunbo Ademola St, Wuse, Abuja",2756,9.0725496,7.4767106
"7",7,7,"ASOKORO","Plot 21C, Julius Nyerere Street, off Yakubu Gowon Str, Asokoro, Abuja",809,9.0469848,7.5224249
"8",8,8,"CBD Abuja","Gateway Plaza, Plot 208, Zakariyah Maimalari Road, off Herbert",9534,NA,NA
"9",9,9,"CEDDI PLAZA","PLOT 264 TAFAWA BALEWA WAY CBD- ABUJA",3130,9.0452857,7.4950113
"10",10,10,"COURT OF APPEAL","COURT OF APPEAL COMPLEX 3 ARM ZONE",2013,9.0733503,7.5064504
"11",11,11,"FEDERAL MINISTRY OF WORKS","MABUSHI, UTAKO DISTRICT, ABUJA FCT",9379,9.0678511,7.4464402
"12",12,12,"GARKI II","PLOT 1347 AHMADU BELLO WAY, GARKI, ABUJA",8126,9.0289779,7.4912686
"13",13,13,"GWAGWALADA","Plot 63 University Of Abuja Teaching Hospital road",5722,8.9806983,7.1804956
"14",14,14,"IMANI ESTATE","IMANI ESTATE MAITAMA",8780,9.0876436,7.491388
"15",15,15,"KOFORIDUA BO","28 Koforidua Street Wuse Zone 2",2093,9.0575129,7.4595261
"16",16,16,"LE-MERIDIEN","PLOT 903 , TAFAWA BALEWA STR. AREA 11 GARKI, ABUJA",5263,9.0466721,7.4942476
"17",17,17,"MAITAMA 2","Plot 701, Usuma Street, off Gana Street, Maitama, Abuja",2629,9.0774306,7.4980748
"18",18,18,"MINISTRY OF JUSTICE","Fed min of justice HQ, Shehu Shagari way maitama Abuja",1277,9.0881961,7.4933824
"19",19,19,"NASS - HOUSE OF REPS","National Assembly Complex, Three-Arms Zone Maitama District. Abuja.",8548,9.0682021,7.5110871
"20",20,21,"NASS – SENATE","National Assembly Complex, Three-Arms Zone Maitama District. Abuja",6377,9.0682021,7.5110871
"21",21,22,"NATIONAL HOSPITAL, ABUJA","Plot 132, Central Business District FCT. Abuja",6220,9.0585927,7.4894131
"22",22,23,"NNPC TOWERS","NNPC Towers Abuja",1925,9.0546757,7.4849524
"23",23,24,"OWENA HOUSE, ABUJA","POWA PLAZA",663,9.0262074,7.4976046
"24",24,25,"Prestige Abuja Bank","2 Usuma Street, off Gana Street Maiitama Abuja",5063,9.0807216,7.5010051
"25",25,26,"SILVERBIRD","SILVERBIRD GALLERIA CBD,ABUJA",3402,9.0672921,7.4855724
"26",26,27,"TRANSCORP HILTON","TRANSCORP HILTON HOTEL. NO. 1 AGUIYI IRONSI STREET,MAITAMA",7255,9.0835617,7.4885408
"27",27,28,"WAEC","WAEC BUILDING 10 ZAMBEZI CRESCENT MAITAMA",7635,9.0784158,7.4910326
"28",28,29,"WUSE 2","Plot 52, Ademola Adetokunbo Crescent, Wuse 2, Abuja",9553,9.0718889,7.484941
"29",29,30,"WUSE 4","2097 Herbert Macaulay Wy Wuse4",2524,9.0632382,7.4730931
"30",30,31,"ABA FACTORY ROAD","5, Factory Road, Aba. Abia State",1965,5.1204026,7.3679957
"31",31,32,"ABA -OKIGWE RD","9 Okigwe Road Aba",8191,5.1143147,7.3645068
"32",32,33,"ABA OWERRI RD","146/148 Aba-Owerri Road, Aba, Abia State",3573,5.1336621,7.3554355
"33",33,34,"Aba P/h Road","10, Port Harcourt Road, Aba. Abia State",4275,5.1007716,7.3618662
"34",34,35,"ABA ROAD UMUAHIA","68 Aba Road Umuahia",8392,5.4971769,7.4850322
"35",35,36,"BENDE","Bende-Umuahia Road, Bende. Abia State",4831,5.3607713,7.6068049
"36",36,37,"EZIUKWU B/O","3A CEMETERY ROAD, EZIUKWU MARKET, ABA, ABIA STATE",3287,5.103609,7.3553607
"37",37,38,"FACTORY RD, ABA-ABA1","1A, FACTORY ROAD, ABA",9010,5.1195089,7.3691302
"38",38,39,"FAULKS ROAD, ABA","21, Faulks Road. Aba, Abia State",9251,5.1227125,7.3545043
"39",39,40,"UMUAHIA","1 FACTORY ROAD / AKANU IBIAM ROAD UMUAHIA, ABIA STATE",4578,5.5189446,7.4889385
"40",40,41,"AHMADU BELLO WAY","56, Ahmadu Bello Way",8497,6.4313511,3.4088876
"41",41,42,"GALADIMA AMINU2 B/O","36, GALADIMA AMINU WAY, JIMETA, YOLA",8747,9.2664126,12.4455628
"42",42,43,"GLADIMA AMINU1 B/O","42, GLADIMA AMINU WAY, JIMETA, YOLA",578,9.2451085,12.4555975
"43",43,44,"AKA RD","7-13, Aka Road, PMB 1202, Uyo, Akwa Ibom State.",4821,5.0331144,7.926978
"44",44,45,"EBUKHU","Ebukhu, MBO L.G.A. Oron. Akwa-Ibom State.",6647,4.807369,8.2377049
"45",45,46,"EKET","12B, Grace Bill Rd, PMB 1163. Eket. Akwa Ibom State.",6336,4.6412665,7.9289518
"46",46,47,"IKOT ABASI","Ibekwe Road, PMB. 1053, Ikot Abasi. LGA. Akwa Ibom State",867,4.5739124,7.5788975
"47",47,48,"IKOT EKPENE","Esuene Drive, Ikot-Ekpene",5794,5.1744472,7.7145152
